CL_BOP_INDICATOR,Balance of Payments (BOP) Indicator
D_FL_FEF6,"Direct investment, Debt instruments, Repayment of arrears: total (memo item: o/w exceptional financing)"
SL,Government goods and services n.i.e.
P_F5_S13_MV,"Portfolio investment, Equity and investment fund shares, General government"
SF,Insurance and pension services
SDZ,Tourism-related services in travel and passenger transport
D9EF,Capital transfers (memo item: o/w exceptional financing)
O_F61,"Other investment, Nonlife insurance technical reserves"
O_F2_S12R_S_NV,"Other investment, Currency and deposits, Other financial corporations, Short-term"
O_F2_S1X_L_NV,"Other investment, Currency and deposits, Monetary authorities, Long-term"
SJ2,Professional and management consulting services
O_F2_S12R_L_NV,"Other investment, Currency and deposits, Other financial corporations, Long-term"
O_F4_S13_L_NV,"Other investment, Loans, General government, Long-term"
OXEF_F519,"Other investment, excluding exceptional financing, Other equity"
O_F2_S13_S_NV,"Other investment, Currency and deposits, General government, Short-term"
R3,Total remittances and transfers (supplementary item)
O_F2_S13_L_NV,"Other investment, Currency and deposits, General government, Long-term"
P_F3_S12R_S_MV,"Portfolio investment, Debt securities, Other financial corporations, Short-term"
P_F3_S13_S_MV,"Portfolio investment, Debt securities, General government, Short-term"
P_F3_S13_L_MV,"Portfolio investment, Debt securities, General government, Long-term"
P_F3_S12R_L_MV,"Portfolio investment, Debt securities, Other financial corporations, Long-term"
P_F52_D4S,"Portfolio investment, Investment fund shares/units, Investment income on investment income attributable to shareholders, including income on if, including rie"
O_F2_S1X_S_NV,"Other investment, Currency and deposits, Monetary authorities, Short-term"
P_F3_D41_S,"Portfolio investment, Debt securities, Investment income, interest income, Short-term"
D752W_S1W,"Workers' remittances, Financial corporations, nonfinancial corporations, households, and NPISHs"
SDB2,Travel; personal; education-related
P_F3_D41_L,"Portfolio investment, Debt securities, Investment income, interest income, Long-term"
P_F5_S121_MV,"Portfolio investment, Equity and investment fund shares, Central bank"
O_F4_S13_S_NV,"Other investment, Loans, General government, Short-term"
P_F3_S1X_S_MV,"Portfolio investment, Debt securities, Monetary authorities, Short-term"
P_F3_S121_S_MV,"Portfolio investment, Debt securities, Central bank, Short-term"
TDBCA,Total current account debit/expenditure
D_FL_FEF,"Direct investment, Debt instruments, Total exceptional financing"
PXEF,"Portfolio investment, excluding exceptional financing"
O_F64,"Other investment, Claims of pension funds on sponsors"
P_F5_MV,"Portfolio investment, Equity and investment fund shares"
O_FL1_S13,"Other investment, Debt instruments, General government"
P_F3_S121_L_MV,"Portfolio investment, Debt securities, Central bank, Long-term"
D61Z_S13,"Social contributions payable by border, seasonal, and other short-term workers, General government"
D74EF2,Secondary income: other intergovernmental grants (memo item: o/w exceptional financing)
D91_S13,"Capital taxes, General government"
D5_S13,"Current taxes on income, wealth, etc., General government"
TDBKA,Total capital account debit/expenditure
SCA,All modes of transport; passenger
