CL_BOP_INDICATOR,Balance of Payments (BOP) Indicator
O_FLA1_FEF_S1P,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Total exceptional financing, Other sectors than MFIs and general government"
P_F3_FEF_S1V,"Portfolio investment, Debt securities, Total exceptional financing, Non financial corporations, households and NPISH"
O_FLA1_FEF_S13,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Total exceptional financing, General government"
P_F5_S1V,"Portfolio investment, Equity and investment fund shares, Non financial corporations, households and NPISH"
P_F3_FEF3_S12R,"Portfolio investment, Debt securities, Prepayment/buyback (memo item: o/w exceptional financing), Other financial corporations"
D3_F3,"Direct investment between fellow enterprises, Debt securities"
O_FLA1_FEF_S121,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Total exceptional financing, Central bank"
O_FLA1_FEF,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Total exceptional financing"
O_FLA1_FEF_S12R,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Total exceptional financing, Other financial corporations"
D2_F3,"Direct investment enterprises in direct investor, Debt securities"
O_FLA1_FEF_S1V,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Total exceptional financing, Non financial corporations, households and NPISH"
D1_F3,"Direct investor in direct invesment enterprises, Debt securities"
P_F3_FEF3_S1V,"Portfolio investment, Debt securities, Prepayment/buyback (memo item: o/w exceptional financing), Non financial corporations, households and NPISH"
O_FLA1_FEF3_S13,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Prepayment/buyback (memo item: o/w exceptional financing), General government"
O_FLA1_FEF8_S1V,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Cancellation of arrears total (memo item: o/w exceptional financing), Non financial corporations, households and NPISH"
O_FLA1_FEF5_S1V,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Accumulation of arrears: total (memo item: o/w exceptional financing), Non financial corporations, households and NPISH"
F_F7_S1Z,"Financial derivatives (other than reserves) and employee stock options, Other Sectors (BPM6)"
P_F3_FEF2_S1V,"Portfolio investment, Debt securities, Drawings on new loans/Issues of new securities by authorities or by other sectors on behalf of authorities (memo item: o/w exceptional financing), Non financial corporations, households and NPISH"
O_FLA1_FEF4_S1V,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Rescheduling of arrears: total (memo item: o/w exceptional financing), Non financial corporations, households and NPISH"
O_FLA1_FEF3_S121,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Prepayment/buyback (memo item: o/w exceptional financing), Central bank"
U2_F3,"Direct investment between fellow enterprises if ultimate controlling parent is nonresident, Debt securities"
O_F8AR_S1Z_S,"Other investment, Other accounts receivable, Other Sectors (BPM6), Short-term"
U3_F3,"Direct investment between fellow enterprises if ultimate controlling parent is unknown, Debt securities"
U1_F3,"Direct investment between fellow enterprises if ultimate controlling parent is resident, Debt securities"
O_FLA1_FEF6_S12R,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Repayment of arrears: total (memo item: o/w exceptional financing), Other financial corporations"
O_FLA1_FEF3_S12R,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Prepayment/buyback (memo item: o/w exceptional financing), Other financial corporations"
O_FLA1_FEF8_S12R,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Cancellation of arrears total (memo item: o/w exceptional financing), Other financial corporations"
O_FLA1_FEF5_S12R,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Accumulation of arrears: total (memo item: o/w exceptional financing), Other financial corporations"
O_FLA1_FEF4_S12R,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Rescheduling of arrears: total (memo item: o/w exceptional financing), Other financial corporations"
O_FLA1_FEF51_S12R,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Accumulation of arrears on principal (memo item: o/w exceptional financing), Other financial corporations"
O_FLA1_FEF3_S1V,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Prepayment/buyback (memo item: o/w exceptional financing), Non financial corporations, households and NPISH"
O_FLA1_FEF81_S12R,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Cancellation of arrears on principal (memo item: o/w exceptional financing), Other financial corporations"
O_FLA1_FEF41_S12R,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Rescheduling of arrears on principal (memo item: o/w exceptional financing), Other financial corporations"
O_FLA1_FEF61_S12R,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Repayment of arrears on principal (memo item: o/w exceptional financing), Other financial corporations"
O_FLA1_FEF82_S12R,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Cancellation of arrears on interest/coupon (memo item: o/w exceptional financing), Other financial corporations"
O_FLA1_FEF4_S121,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Rescheduling of arrears: total (memo item: o/w exceptional financing), Central bank"
O_FLA1_FEF5_S121,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Accumulation of arrears: total (memo item: o/w exceptional financing), Central bank"
O_FLA1_FEF5_S13,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Accumulation of arrears: total (memo item: o/w exceptional financing), General government"
O_FLA1_FEF8_S13,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Cancellation of arrears total (memo item: o/w exceptional financing), General government"
O_FLA1_FEF6_S1V,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Repayment of arrears: total (memo item: o/w exceptional financing), Non financial corporations, households and NPISH"
O_FLA1_FEF6_S13,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Repayment of arrears: total (memo item: o/w exceptional financing), General government"
O_FLA1_FEF42_S12R,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Rescheduling of arrears on interest/coupon (memo item: o/w exceptional financing), Other financial corporations"
O_FLA1_FEF4_S13,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Rescheduling of arrears: total (memo item: o/w exceptional financing), General government"
O_FLA1_FEF61_S1V,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Repayment of arrears on principal (memo item: o/w exceptional financing), Non financial corporations, households and NPISH"
P_F3_FEF2_S121,"Portfolio investment, Debt securities, Drawings on new loans/Issues of new securities by authorities or by other sectors on behalf of authorities (memo item: o/w exceptional financing), Central bank"
O_FLA1_FEF42_S13,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Rescheduling of arrears on interest/coupon (memo item: o/w exceptional financing), General government"
O_FLA1_FEF62_S12R,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Repayment of arrears on interest/coupon (memo item: o/w exceptional financing), Other financial corporations"
P_F3_FEF2_S13,"Portfolio investment, Debt securities, Drawings on new loans/Issues of new securities by authorities or by other sectors on behalf of authorities (memo item: o/w exceptional financing), General government"
O_FLA1_FEF62_S1V,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Repayment of arrears on interest/coupon (memo item: o/w exceptional financing), Non financial corporations, households and NPISH"
O_FLA1_FEF52_S12R,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Accumulation of arrears on original interest/coupon (memo item: o/w exceptional financing), Other financial corporations"
O_FLA1_FEF81_S13,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Cancellation of arrears on principal (memo item: o/w exceptional financing), General government"
O_FLA1_FEF61_S13,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Repayment of arrears on principal (memo item: o/w exceptional financing), General government"
O_FLA1_FEF51_S13,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Accumulation of arrears on principal (memo item: o/w exceptional financing), General government"
O_FLA1_FEF82_S13,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Cancellation of arrears on interest/coupon (memo item: o/w exceptional financing), General government"
O_FLA1_FEF41_S13,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Rescheduling of arrears on principal (memo item: o/w exceptional financing), General government"
O_FLA1_FEF51_S1V,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Accumulation of arrears on principal (memo item: o/w exceptional financing), Non financial corporations, households and NPISH"
O_FLA1_FEF81_S1V,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Cancellation of arrears on principal (memo item: o/w exceptional financing), Non financial corporations, households and NPISH"
O_FLA1_FEF41_S1V,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Rescheduling of arrears on principal (memo item: o/w exceptional financing), Non financial corporations, households and NPISH"
O_FLA1_FEF53_S1V,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Accumulation of arrears on penalty interest (memo item: o/w exceptional financing), Non financial corporations, households and NPISH"
O_FLA1_FEF42_S1V,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Rescheduling of arrears on interest/coupon (memo item: o/w exceptional financing), Non financial corporations, households and NPISH"
O_FLA1_FEF41_S121,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Rescheduling of arrears on principal (memo item: o/w exceptional financing), Central bank"
O_FLA1_FEF53_S12R,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Accumulation of arrears on penalty interest (memo item: o/w exceptional financing), Other financial corporations"
O_FLA1_FEF51_S121,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Accumulation of arrears on principal (memo item: o/w exceptional financing), Central bank"
O_FLA1_FEF52_S13,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Accumulation of arrears on original interest/coupon (memo item: o/w exceptional financing), General government"
O_FLA1_FEF81_S121,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Cancellation of arrears on principal (memo item: o/w exceptional financing), Central bank"
O_FLA1_FEF42_S121,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Rescheduling of arrears on interest/coupon (memo item: o/w exceptional financing), Central bank"
O_FLA1_FEF61_S121,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Repayment of arrears on principal (memo item: o/w exceptional financing), Central bank"
O_FLA1_FEF82_S121,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Cancellation of arrears on interest/coupon (memo item: o/w exceptional financing), Central bank"
O_FLA1_FEF2_S1V,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Drawings on new loans/Issues of new securities by authorities or by other sectors on behalf of authorities (memo item: o/w exceptional financing), Non financial corporations, households and NPISH"
O_FLA1_FEF82_S1V,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Cancellation of arrears on interest/coupon (memo item: o/w exceptional financing), Non financial corporations, households and NPISH"
O_FLA1_FEF52_S121,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Accumulation of arrears on original interest/coupon (memo item: o/w exceptional financing), Central bank"
P_F3_FEF2_S12R,"Portfolio investment, Debt securities, Drawings on new loans/Issues of new securities by authorities or by other sectors on behalf of authorities (memo item: o/w exceptional financing), Other financial corporations"
O_FLA1_FEF62_S13,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Repayment of arrears on interest/coupon (memo item: o/w exceptional financing), General government"
O_FLA1_FEF52_S1V,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Accumulation of arrears on original interest/coupon (memo item: o/w exceptional financing), Non financial corporations, households and NPISH"
O_FLA1_FEF62_S121,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Repayment of arrears on interest/coupon (memo item: o/w exceptional financing), Central bank"
O_FLA1_FEF2_S12R,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Drawings on new loans/Issues of new securities by authorities or by other sectors on behalf of authorities (memo item: o/w exceptional financing), Other financial corporations"
O_FLA1_FEF7_S12R,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Rescheduling of payments due in current reporting period, total (memo item: o/w exceptional financing), Other financial corporations"
O_FLA1_FEF7_S1V,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Rescheduling of payments due in current reporting period, total (memo item: o/w exceptional financing), Non financial corporations, households and NPISH"
O_FLA1_FEF53_S13,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Accumulation of arrears on penalty interest (memo item: o/w exceptional financing), General government"
O_FLA1_FEF71_S12R,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Rescheduling of payments due in current reporting period, on principal (memo item: o/w exceptional financing), Other financial corporations"
O_FLA1_FEF53_S121,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Accumulation of arrears on penalty interest (memo item: o/w exceptional financing), Central bank"
P_F3_FEF52_S122,"Portfolio investment, Debt securities, Accumulation of arrears on original interest/coupon (memo item: o/w exceptional financing), Deposit taking corporations, except the Central Bank"
O_FLA1_FEF72_S12R,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Rescheduling of payments due in current reporting period, on interest/coupon (memo item: o/w exceptional financing), Other financial corporations"
O_FLA1_FEF6_S122,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Repayment of arrears: total (memo item: o/w exceptional financing), Deposit taking corporations, except the Central Bank"
O_FLA1_FEF6_S1P,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Repayment of arrears: total (memo item: o/w exceptional financing), Other sectors than MFIs and general government"
O_FLA1_FEF8_S1P,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Cancellation of arrears total (memo item: o/w exceptional financing), Other sectors than MFIs and general government"
P_F3_FEF7_S1V,"Portfolio investment, Debt securities, Rescheduling of payments due in current reporting period, total (memo item: o/w exceptional financing), Non financial corporations, households and NPISH"
O_FLA1_FEF2_S13,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Drawings on new loans/Issues of new securities by authorities or by other sectors on behalf of authorities (memo item: o/w exceptional financing), General government"
O_FLA1_FEF3_S122,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Prepayment/buyback (memo item: o/w exceptional financing), Deposit taking corporations, except the Central Bank"
P_F3_FEF2_S1P,"Portfolio investment, Debt securities, Drawings on new loans/Issues of new securities by authorities or by other sectors on behalf of authorities (memo item: o/w exceptional financing), Other sectors than MFIs and general government"
O_FLA1_FEF2_S121,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Drawings on new loans/Issues of new securities by authorities or by other sectors on behalf of authorities (memo item: o/w exceptional financing), Central bank"
O_FLA1_FEF4_S122,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Rescheduling of arrears: total (memo item: o/w exceptional financing), Deposit taking corporations, except the Central Bank"
O_FLA1_FEF5_S1P,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Accumulation of arrears: total (memo item: o/w exceptional financing), Other sectors than MFIs and general government"
O_FLA1_FEF71_S1V,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Rescheduling of payments due in current reporting period, on principal (memo item: o/w exceptional financing), Non financial corporations, households and NPISH"
O_FLA1_FEF8_S122,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Cancellation of arrears total (memo item: o/w exceptional financing), Deposit taking corporations, except the Central Bank"
O_FLA1_FEF3_S1P,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Prepayment/buyback (memo item: o/w exceptional financing), Other sectors than MFIs and general government"
O_FLA1_FEF5_S122,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Accumulation of arrears: total (memo item: o/w exceptional financing), Deposit taking corporations, except the Central Bank"
O_FLA1_FEF72_S1V,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Rescheduling of payments due in current reporting period, on interest/coupon (memo item: o/w exceptional financing), Non financial corporations, households and NPISH"
O_FLA1_FEF4_S1P,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Rescheduling of arrears: total (memo item: o/w exceptional financing), Other sectors than MFIs and general government"
P_F3_FEF72_S1V,"Portfolio investment, Debt securities, Rescheduling of payments due in current reporting period, on interest/coupon (memo item: o/w exceptional financing), Non financial corporations, households and NPISH"
O_FLA1_FEF42_S122,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Rescheduling of arrears on interest/coupon (memo item: o/w exceptional financing), Deposit taking corporations, except the Central Bank"
O_FLA1_FEF41_S122,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Rescheduling of arrears on principal (memo item: o/w exceptional financing), Deposit taking corporations, except the Central Bank"
O_FLA1_FEF51_S122,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Accumulation of arrears on principal (memo item: o/w exceptional financing), Deposit taking corporations, except the Central Bank"
P_F3_FEF72_S12R,"Portfolio investment, Debt securities, Rescheduling of payments due in current reporting period, on interest/coupon (memo item: o/w exceptional financing), Other financial corporations"
O_FLA1_FEF81_S122,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Cancellation of arrears on principal (memo item: o/w exceptional financing), Deposit taking corporations, except the Central Bank"
O_FLA1_FEF81_S1P,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Cancellation of arrears on principal (memo item: o/w exceptional financing), Other sectors than MFIs and general government"
O_FLA1_FEF61_S1P,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Repayment of arrears on principal (memo item: o/w exceptional financing), Other sectors than MFIs and general government"
O_FLA1_FEF7_S121,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Rescheduling of payments due in current reporting period, total (memo item: o/w exceptional financing), Central bank"
O_FLA1_FEF41_S1P,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Rescheduling of arrears on principal (memo item: o/w exceptional financing), Other sectors than MFIs and general government"
O_FLA1_FEF51_S1P,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Accumulation of arrears on principal (memo item: o/w exceptional financing), Other sectors than MFIs and general government"
P_F3_FEF2_S122,"Portfolio investment, Debt securities, Drawings on new loans/Issues of new securities by authorities or by other sectors on behalf of authorities (memo item: o/w exceptional financing), Deposit taking corporations, except the Central Bank"
O_FLA1_FEF82_S122,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Cancellation of arrears on interest/coupon (memo item: o/w exceptional financing), Deposit taking corporations, except the Central Bank"
O_FLA1_FEF42_S1P,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Rescheduling of arrears on interest/coupon (memo item: o/w exceptional financing), Other sectors than MFIs and general government"
O_FLA1_FEF61_S122,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Repayment of arrears on principal (memo item: o/w exceptional financing), Deposit taking corporations, except the Central Bank"
P_F3_FEF71_S1V,"Portfolio investment, Debt securities, Rescheduling of payments due in current reporting period, on principal (memo item: o/w exceptional financing), Non financial corporations, households and NPISH"
O_FLA1_FEF82_S1P,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Cancellation of arrears on interest/coupon (memo item: o/w exceptional financing), Other sectors than MFIs and general government"
P_F3_FEF7_S1P,"Portfolio investment, Debt securities, Rescheduling of payments due in current reporting period, total (memo item: o/w exceptional financing), Other sectors than MFIs and general government"
O_FLA1_FEF71_S121,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Rescheduling of payments due in current reporting period, on principal (memo item: o/w exceptional financing), Central bank"
O_FLA1_FEF52_S122,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Accumulation of arrears on original interest/coupon (memo item: o/w exceptional financing), Deposit taking corporations, except the Central Bank"
O_FLA1_FEF62_S1P,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Repayment of arrears on interest/coupon (memo item: o/w exceptional financing), Other sectors than MFIs and general government"
O_FLA1_FEF52_S1P,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Accumulation of arrears on original interest/coupon (memo item: o/w exceptional financing), Other sectors than MFIs and general government"
O_FLA1_FEF62_S122,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Repayment of arrears on interest/coupon (memo item: o/w exceptional financing), Deposit taking corporations, except the Central Bank"
O_FLA1_FEF72_S121,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Rescheduling of payments due in current reporting period, on interest/coupon (memo item: o/w exceptional financing), Central bank"
O_FLA1_FEF53_S122,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Accumulation of arrears on penalty interest (memo item: o/w exceptional financing), Deposit taking corporations, except the Central Bank"
P_F3_FEF71_S1P,"Portfolio investment, Debt securities, Rescheduling of payments due in current reporting period, on principal (memo item: o/w exceptional financing), Other sectors than MFIs and general government"
O_FLA1_FEF53_S1P,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Accumulation of arrears on penalty interest (memo item: o/w exceptional financing), Other sectors than MFIs and general government"
P_F3_FEF72_S1P,"Portfolio investment, Debt securities, Rescheduling of payments due in current reporting period, on interest/coupon (memo item: o/w exceptional financing), Other sectors than MFIs and general government"
O_FLA1_FEF2_S1P,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Drawings on new loans/Issues of new securities by authorities or by other sectors on behalf of authorities (memo item: o/w exceptional financing), Other sectors than MFIs and general government"
O_FLA1_FEF7_S13,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Rescheduling of payments due in current reporting period, total (memo item: o/w exceptional financing), General government"
O_FLA1_FEF7_S1P,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Rescheduling of payments due in current reporting period, total (memo item: o/w exceptional financing), Other sectors than MFIs and general government"
O_FLA1_FEF2_S122,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Drawings on new loans/Issues of new securities by authorities or by other sectors on behalf of authorities (memo item: o/w exceptional financing), Deposit taking corporations, except the Central Bank"
O_FLA1_FEF71_S13,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Rescheduling of payments due in current reporting period, on principal (memo item: o/w exceptional financing), General government"
O_FLA1_FEF72_S13,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Rescheduling of payments due in current reporting period, on interest/coupon (memo item: o/w exceptional financing), General government"
O_FLA1_FEF72_S1P,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Rescheduling of payments due in current reporting period, on interest/coupon (memo item: o/w exceptional financing), Other sectors than MFIs and general government"
P_F3_FEF7_S122,"Portfolio investment, Debt securities, Rescheduling of payments due in current reporting period, total (memo item: o/w exceptional financing), Deposit taking corporations, except the Central Bank"
O_FLA1_FEF71_S1P,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Rescheduling of payments due in current reporting period, on principal (memo item: o/w exceptional financing), Other sectors than MFIs and general government"
P_F3_FEF71_S122,"Portfolio investment, Debt securities, Rescheduling of payments due in current reporting period, on principal (memo item: o/w exceptional financing), Deposit taking corporations, except the Central Bank"
P_F3_FEF72_S122,"Portfolio investment, Debt securities, Rescheduling of payments due in current reporting period, on interest/coupon (memo item: o/w exceptional financing), Deposit taking corporations, except the Central Bank"
O_FLA1_FEF7_S122,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Rescheduling of payments due in current reporting period, total (memo item: o/w exceptional financing), Deposit taking corporations, except the Central Bank"
O_FLA1_FEF72_S122,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Rescheduling of payments due in current reporting period, on interest/coupon (memo item: o/w exceptional financing), Deposit taking corporations, except the Central Bank"
O_FLA1_FEF71_S122,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Rescheduling of payments due in current reporting period, on principal (memo item: o/w exceptional financing), Deposit taking corporations, except the Central Bank"
P_F3_S122_MV,"Portfolio investment, Debt securities, Deposit taking corporations, except the Central Bank"
O_F4_S122_NV,"Other investment, Loans, Deposit taking corporations, except the Central Bank"
F_F7_S122_T,"Financial derivatives (other than reserves) and employee stock options, Deposit taking corporations, except the Central Bank"
O_F2_S122_NV,"Other investment, Currency and deposits, Deposit taking corporations, except the Central Bank"
P_F3_S1V_MV,"Portfolio investment, Debt securities, Non financial corporations, households and NPISH"
F_F7_S1X_T,"Financial derivatives (other than reserves) and employee stock options, Monetary authorities"
O_F2_S1V_NV,"Other investment, Currency and deposits, Non financial corporations, households and NPISH"
O_F2_S13_NV,"Other investment, Currency and deposits, General government"
P_F3_S1X_MV,"Portfolio investment, Debt securities, Monetary authorities"
P_F3_S13_MV,"Portfolio investment, Debt securities, General government"
O_F2_S1X_NV,"Other investment, Currency and deposits, Monetary authorities"
R,Reserve assets
F_F7_S13_T,"Financial derivatives (other than reserves) and employee stock options, General government"
O_F4_S1V_NV,"Other investment, Loans, Non financial corporations, households and NPISH"
O_F2_S121_NV,"Other investment, Currency and deposits, Central bank"
P_F3_S121_MV,"Portfolio investment, Debt securities, Central bank"
F_F7_S121_T,"Financial derivatives (other than reserves) and employee stock options, Central bank"
P_F3_S12R_MV,"Portfolio investment, Debt securities, Other financial corporations"
F_F7_S12R_T,"Financial derivatives (other than reserves) and employee stock options, Other financial corporations"
O_F2_S12R_NV,"Other investment, Currency and deposits, Other financial corporations"
O_F4_S1X_NV,"Other investment, Loans, Monetary authorities"
O_F4_S13_NV,"Other investment, Loans, General government"
O_F221_S122_NV,"Other investment, Inter-bank positions, Deposit taking corporations, except the Central Bank"
R_F11_MV,"Reserve assets, Monetary gold"
P_F3_MV,"Portfolio investment, Debt securities"
O_F2_NV,"Other investment, Currency and deposits"
O_F4_S12R_NV,"Other investment, Loans, Other financial corporations"
NIIP_AFR,"Net International Investment Position, Adjusted using IMF accounting records"
O_F4_S121_NV,"Other investment, Loans, Central bank"
O_TLIMFOTR_S121_NV,"Other investment, Credit and loans with the IMF: other than reserves, Central bank"
O_F4_NV,"Other investment, Loans"
R_F5_MV,"Reserve assets, Equity and investment fund shares"
R_F3_S_MV,"Reserve assets, Debt securities, Short-term"
O_TLIMFOTR_S13_NV,"Other investment, Credit and loans with the IMF: other than reserves, General government"
R_F3_L_MV,"Reserve assets, Debt securities, Long-term"
O_FEF5_S122,"Other investment, Accumulation of arrears: total (memo item: o/w exceptional financing), Deposit taking corporations, except the Central Bank"
O_FEF5_S1V,"Other investment, Accumulation of arrears: total (memo item: o/w exceptional financing), Non financial corporations, households and NPISH"
O_TLIMFOTR_S1X_NV,"Other investment, Credit and loans with the IMF: other than reserves, Monetary authorities"
O_FEF53_S122,"Other investment, Accumulation of arrears on penalty interest (memo item: o/w exceptional financing), Deposit taking corporations, except the Central Bank"
O_FEF51_S122,"Other investment, Accumulation of arrears on principal (memo item: o/w exceptional financing), Deposit taking corporations, except the Central Bank"
O_FEF52_S122,"Other investment, Accumulation of arrears on original interest/coupon (memo item: o/w exceptional financing), Deposit taking corporations, except the Central Bank"
R_FK_AFR,"Reserve assets, Reserve position in the IMF, Adjusted using IMF accounting records"
O_FEF51_S1V,"Other investment, Accumulation of arrears on principal (memo item: o/w exceptional financing), Non financial corporations, households and NPISH"
O_FEF53_S1V,"Other investment, Accumulation of arrears on penalty interest (memo item: o/w exceptional financing), Non financial corporations, households and NPISH"
R_FR1Z_MV,"Reserve assets, Securities under repo for cash collateral"
P_F3_FEF52_S1X,"Portfolio investment, Debt securities, Accumulation of arrears on original interest/coupon (memo item: o/w exceptional financing), Monetary authorities"
O_F2_S1Z_NV,"Other investment, Currency and deposits, Other Sectors (BPM6)"
P_F3_S1Z_MV,"Portfolio investment, Debt securities, Other Sectors (BPM6)"
